ID,Income,Term,Balance,Debt,Score,Default
567,17500,Short Term,1460,272,225.0,False
523,18500,Long Term,890,970,187.0,False
544,20700,Short Term,880,884,85.0,False
370,21600,Short Term,920,0,,False
756,24300,Short Term,1260,0,495.0,False
929,22900,Long Term,1540,1229,383.0,False
373,20400,Short Term,1200,0,556.0,False
818,24600,Short Term,1470,0,301.0,False
284,26500,Long Term,720,1866,243.0,False
621,25400,Short Term,1130,0,729.0,True
404,19700,Short Term,910,0,186.0,False
763,20600,Short Term,820,1218,136.0,False
327,19300,Long Term,1300,0,422.0,False
664,23700,Short Term,1060,801,240.0,False
590,18800,Short Term,970,1542,59.0,True
24,23200,Short Term,610,0,325.0,False
931,18100,Short Term,1020,2133,34.0,True
400,18400,Short Term,940,892,195.0,True
905,17200,Short Term,1140,855,128.0,False
556,20200,Short Term,810,0,399.0,False
673,23500,Short Term,790,0,,False
537,19900,Short Term,1030,799,294.0,False
616,23100,Long Term,1260,737,426.0,True
422,21200,Short Term,730,975,88.0,False
73,16400,Short Term,780,1076,145.0,False
466,21000,Short Term,1480,0,447.0,False
363,18100,Short Term,1090,0,168.0,False
291,23200,Short Term,1260,460,487.0,False
326,17800,Short Term,630,0,337.0,False
483,24100,Short Term,800,0,380.0,False
563,17600,Long Term,950,0,334.0,False
838,21800,Short Term,940,568,244.0,False
740,22800,Long Term,1060,1816,145.0,True
216,16600,Short Term,730,0,257.0,False
302,22400,Short Term,1220,1313,191.0,False
236,19500,Short Term,1060,0,277.0,False
36,18500,Short Term,980,354,,True
606,18800,Short Term,800,324,347.0,False
716,19800,Short Term,800,843,243.0,False
471,18700,Short Term,580,0,233.0,False
158,23700,Short Term,880,703,316.0,True
986,19800,Short Term,940,0,371.0,False
841,20600,Short Term,1640,91,517.0,False
342,14500,Long Term,1110,0,296.0,False
210,25600,Short Term,920,227,318.0,False
778,20200,Short Term,920,1977,56.0,True
441,19900,Short Term,900,438,338.0,False
782,19000,Short Term,640,449,201.0,False
424,17400,Short Term,1360,0,324.0,False
566,21300,Short Term,830,793,237.0,False
789,23600,Long Term,860,0,350.0,False
301,18600,Short Term,520,500,268.0,False
583,20000,Short Term,1220,2698,10.0,True
268,17700,Short Term,640,0,289.0,False
608,25000,Short Term,1360,0,465.0,False
407,20400,Short Term,1040,446,247.0,False
67,20000,Short Term,1080,0,505.0,False
296,21200,Short Term,1020,984,250.0,False
669,28300,Short Term,1070,1010,507.0,False
316,15300,Short Term,1200,0,273.0,False
624,18400,Short Term,1070,535,216.0,False
643,21300,Short Term,680,364,,False
703,16600,Short Term,1180,539,245.0,False
653,17600,Long Term,900,518,221.0,False
864,21400,Long Term,820,234,369.0,False
163,21400,Short Term,870,271,310.0,False
472,19800,Short Term,1260,0,229.0,False
900,18700,Short Term,390,0,349.0,False
749,23300,Short Term,1290,0,218.0,False
155,22600,Short Term,1140,979,258.0,True
355,18800,Short Term,1090,0,301.0,False
767,20600,Short Term,630,758,265.0,False
805,25800,Long Term,510,0,337.0,False
493,16100,Short Term,900,0,294.0,False
577,21500,Long Term,930,0,364.0,False
196,23900,Short Term,620,0,225.0,False
213,24200,Short Term,1160,0,341.0,False
221,22100,Short Term,1630,0,582.0,False
456,20400,Short Term,1090,0,406.0,False
127,22100,Short Term,950,416,353.0,False
330,23500,Short Term,650,0,348.0,False
546,17900,Long Term,970,845,108.0,False
446,18200,Long Term,1170,499,287.0,False
194,21900,Short Term,1160,0,155.0,False
808,21800,Short Term,1640,1055,272.0,True
361,24400,Short Term,750,2573,71.0,True
83,18400,Short Term,510,0,,False
979,19800,Short Term,830,1172,215.0,False
41,22300,Short Term,1210,0,424.0,False
995,24000,Short Term,990,0,541.0,False
144,17600,Long Term,1010,556,350.0,False
820,19800,Short Term,1370,694,363.0,False
177,15000,Short Term,1040,417,83.0,False
340,18900,Short Term,1170,706,153.0,False
709,26600,Short Term,980,0,308.0,False
250,19400,Short Term,1080,0,436.0,False
964,19000,Short Term,1550,366,228.0,False
515,22900,Long Term,1380,0,174.0,False
26,21400,Short Term,1050,0,453.0,False
587,18000,Short Term,910,261,362.0,False
133,19200,Short Term,1010,0,242.0,False
103,19500,Short Term,630,416,280.0,False
478,20400,Short Term,880,256,224.0,False
835,20800,Short Term,1220,0,347.0,False
633,18100,Short Term,850,0,274.0,False
769,22100,Short Term,910,0,531.0,False
399,21700,Short Term,910,171,425.0,False
555,24300,Short Term,850,0,254.0,False
580,21900,Short Term,990,0,429.0,False
137,22200,Long Term,1300,0,285.0,False
118,20400,Long Term,1230,1352,237.0,False
397,17300,Short Term,1190,0,324.0,False
332,22700,Short Term,1070,0,415.0,False
165,22600,Long Term,1470,0,433.0,False
741,20000,Short Term,690,1378,141.0,False
307,16900,Short Term,900,1170,116.0,False
