,ID,Income,Term,Balance,Debt,Score,Default
0,567,17626,10 Years,1381,293,228.0,False
1,523,18959,20 Years,883,1012,187.0,False
2,544,20560,10 Years,684,898,86.0,False
3,370,21894,10 Years,748,85,,False
4,756,24430,10 Years,1224,59,504.0,False
5,929,22995,20 Years,1678,1329,384.0,False
6,373,21124,10 Years,1135,115,560.0,False
7,818,24644,10 Years,1634,105,309.0,False
8,284,27138,20 Years,840,1877,251.0,False
9,621,24521,10 Years,1271,110,736.0,True
10,404,19166,10 Years,854,48,186.0,False
11,763,20838,10 Years,946,1259,136.0,False
12,327,18630,20 Years,1316,37,430.0,False
13,664,24182,10 Years,1160,882,247.0,False
14,590,17887,10 Years,901,1586,68.0,True
15,24,23596,10 Years,701,34,333.0,False
16,931,18223,10 Years,889,2162,40.0,True
17,400,18271,10 Years,991,979,197.0,True
18,905,17887,10 Years,1214,960,130.0,False
19,556,19330,10 Years,973,29,400.0,False
20,673,24185,10 Years,771,77,,False
21,537,20232,10 Years,996,804,296.0,False
22,616,22869,20 Years,1150,803,431.0,True
23,422,20543,10 Years,731,1054,89.0,False
24,73,16915,10 Years,925,1082,147.0,False
25,466,21437,10 Years,1298,51,451.0,False
26,363,17905,10 Years,928,13,168.0,False
27,291,22585,10 Years,1185,532,487.0,False
28,326,18015,10 Years,602,14,346.0,False
29,483,24055,10 Years,740,20,388.0,False
30,563,16876,20 Years,991,34,340.0,False
31,838,21984,10 Years,959,633,244.0,False
32,740,22259,20 Years,985,1906,152.0,True
33,216,16937,10 Years,587,1,259.0,False
34,302,21421,10 Years,1167,1347,198.0,False
35,236,18752,10 Years,1176,81,281.0,False
36,36,18247,10 Years,1162,431,,True
37,606,18656,10 Years,960,343,353.0,False
38,716,20384,10 Years,600,924,247.0,False
39,471,18174,10 Years,766,9,238.0,False
40,158,23782,10 Years,1027,727,321.0,True
41,986,19310,10 Years,929,65,378.0,False
42,841,21305,10 Years,1630,115,525.0,False
43,342,14999,20 Years,1278,53,297.0,False
44,210,25299,10 Years,1031,259,326.0,False
45,778,20175,10 Years,836,2012,65.0,True
46,441,20706,10 Years,833,532,346.0,False
47,782,18189,10 Years,497,462,210.0,False
48,424,17357,10 Years,1203,64,333.0,False
49,566,20986,10 Years,802,902,243.0,False
50,789,23557,20 Years,819,79,350.0,False
51,301,18162,10 Years,492,553,274.0,False
52,583,20899,10 Years,1336,2807,19.0,True
53,268,18290,10 Years,742,51,293.0,False
54,608,25267,10 Years,1308,2,470.0,False
55,407,20231,10 Years,919,544,256.0,False
56,67,20528,10 Years,1253,40,511.0,False
57,296,21354,10 Years,1032,989,254.0,False
58,669,28808,10 Years,1072,1034,513.0,False
59,316,16142,10 Years,1251,12,281.0,False
60,624,18046,10 Years,1098,651,218.0,False
61,643,20320,10 Years,643,461,,False
62,703,16440,10 Years,1206,546,246.0,False
63,653,16766,20 Years,846,538,227.0,False
64,864,21697,20 Years,639,331,370.0,False
65,163,20787,10 Years,716,338,313.0,False
66,472,19400,10 Years,1292,24,235.0,False
67,900,18015,10 Years,494,78,351.0,False
68,749,22313,10 Years,1103,67,219.0,False
69,155,21841,10 Years,1082,1023,267.0,True
70,355,18576,10 Years,890,59,307.0,False
71,767,20969,10 Years,802,769,265.0,False
72,805,25364,20 Years,363,31,344.0,False
73,493,15997,10 Years,1073,95,296.0,False
74,577,21863,20 Years,988,91,365.0,False
