origin,destination,departure,arrival,vehicle_class,price,fare,duration
MADRID,BARCELONA,2019-04-12 07:15:00,2019-04-12 16:37:00,Turista,43.25,Adulto ida,562
MADRID,SEVILLA,2019-04-12 09:00:00,2019-04-12 11:38:00,Turista,76.3,Flexible,158
MADRID,SEVILLA,2019-04-12 11:05:00,2019-04-12 13:41:00,Preferente,87.4,Flexible,156
MADRID,SEVILLA,2019-04-12 12:00:00,2019-04-12 14:32:00,Turista,76.3,Flexible,152
MADRID,BARCELONA,2019-04-12 12:30:00,2019-04-12 15:30:00,Turista,71.4938,Flexible,180
MADRID,BARCELONA,2019-04-12 14:30:00,2019-04-12 17:21:00,Turista,107.7,Flexible,171
MADRID,BARCELONA,2019-04-12 16:30:00,2019-04-12 19:15:00,Preferente,71.4938,Flexible,165
MADRID,BARCELONA,2019-04-12 18:00:00,2019-04-12 20:30:00,Turista,100.4,Promo,150
MADRID,SEVILLA,2019-04-12 19:30:00,2019-04-12 22:05:00,Turista,76.3,Flexible,155
MADRID,SEVILLA,2019-04-12 20:00:00,2019-04-12 22:21:00,Turista,71.4938,Flexible,141
MADRID,SEVILLA,2019-04-13 07:00:00,2019-04-13 09:55:00,Turista,62.2,Flexible,175
MADRID,BARCELONA,2019-04-13 07:30:00,2019-04-13 10:40:00,Turista,71.4938,Flexible,190
MADRID,SEVILLA,2019-04-13 08:00:00,2019-04-13 10:32:00,Turista,71.4938,Flexible,152
MADRID,SEVILLA,2019-04-13 08:30:00,2019-04-13 11:14:00,Turista,71.4938,Flexible,164
MADRID,BARCELONA,2019-04-13 09:30:00,2019-04-13 12:34:00,Turista,71.4938,Flexible,184
MADRID,SEVILLA,2019-04-13 10:00:00,2019-04-13 12:32:00,Turista,71.4938,Flexible,152
MADRID,BARCELONA,2019-04-13 10:30:00,2019-04-13 13:15:00,Turista,71.4938,Flexible,165
MADRID,SEVILLA,2019-04-13 11:05:00,2019-04-13 13:41:00,Preferente,87.4,Flexible,156
MADRID,SEVILLA,2019-04-13 13:30:00,2019-04-13 16:05:00,Turista,71.4938,Flexible,155
MADRID,SEVILLA,2019-04-13 14:00:00,2019-04-13 16:32:00,Turista,71.4938,Flexible,152
MADRID,BARCELONA,2019-04-13 15:30:00,2019-04-13 18:40:00,Turista Plus,102.15,Promo,190
MADRID,SEVILLA,2019-04-13 17:00:00,2019-04-13 19:38:00,Turista,71.4938,Flexible,158
MADRID,BARCELONA,2019-04-13 17:30:00,2019-04-13 20:40:00,Turista,71.4938,Flexible,190
MADRID,BARCELONA,2019-04-13 17:30:00,2019-04-13 20:40:00,Preferente,71.4938,Flexible,190
MADRID,SEVILLA,2019-04-13 18:00:00,2019-04-13 20:32:00,Turista,71.4938,Flexible,152
MADRID,SEVILLA,2019-04-13 18:00:00,2019-04-13 20:32:00,Turista,76.3,Flexible,152
MADRID,BARCELONA,2019-04-13 18:30:00,2019-04-13 21:20:00,Turista,71.4938,Flexible,170
MADRID,SEVILLA,2019-04-13 19:00:00,2019-04-13 21:38:00,Turista,71.4938,Promo,158
MADRID,BARCELONA,2019-04-13 19:30:00,2019-04-13 22:40:00,Turista,107.7,Flexible,190
MADRID,BARCELONA,2019-04-13 19:30:00,2019-04-13 22:40:00,Turista,71.4938,Flexible,190
MADRID,SEVILLA,2019-04-13 20:35:00,2019-04-13 23:15:00,Turista,71.4938,Promo,160
MADRID,SEVILLA,2019-04-13 21:25:00,2019-04-14 00:10:00,Turista,71.4938,Promo,165
MADRID,BARCELONA,2019-04-14 07:30:00,2019-04-14 10:40:00,Turista Plus,90.5,Promo,190
MADRID,BARCELONA,2019-04-14 08:30:00,2019-04-14 11:15:00,Preferente,71.4938,Promo,165
MADRID,SEVILLA,2019-04-14 08:30:00,2019-04-14 11:14:00,Turista,71.4938,Flexible,164
MADRID,SEVILLA,2019-04-14 09:00:00,2019-04-14 11:38:00,Preferente,71.4938,Promo,158
